Alex Ignácio da Silva	ignacioalex@yahoo.com

last change: June 15, 2000.

Always enter the atomic data immediately after the symbol # ;
any comments inserted before this symbol will be ignored by the routine.

Name of atom or ion this atomic data set refers to (up to 10 characters):
#
FeII

Number of levels that belong to the ground term:
#
5

Number of levels covered in this atomic data:
#
20

Energy levels and statistical weights:
(one by line, from lowest to highest)
(only the first two numbers are read by the subroutine)

source: 

	C. Corliss and J. Sugar
	J. Phys. Chem. Ref. Data 11, 135 (1982)

E [cm^-1]	g(i)	i	level
#
0.0		10	1	3d6 4s 6D9/2
384.790	8	2	3d6 4s 6D7/2
667.683	6	3	3d6 4s 6D5/2
862.613	4	4	3d6 4s 6D3/2
977.053	2	5	3d6 4s 6D1/2
1872.567	10	6	3d7 4F9/2
2430.097	8	7	3d7 4F7/2
2837.950	6	8	3d7 4F5/2
3117.461	4	9	3d7 4F3/2
7955.299	8	10	3d6 4s 4D7/2
8391.938	6	11	3d6 4s 4D5/2
8680.454	4	12	3d6 4s 4D3/2
8846.768	2	13	3d6 4s 4D1/2
13474.411	6	14	3d7 4P5/2
13673.185	4	15	3d7 4P3/2
13904.824	2	16	3d7 4P1/2
15844.65	10	17	3d7 2G9/2
16369.36	8	18	3d7 2G7/2
18360.646	4	19	3d7 2P3/2
18886.780	2	20	3d7 2P1/2

Transition probabilities:
(one by line)
(there's no need to enter null probabilities)

source:
 
	Quinet, P., le Dourneuf, M. & Zeippen, C.J., 1996: A&AS 120, 361
	(Iron Project calculation)

	transitions involving the a2G or a2P levels not listed in the
	reference above were taken from:
	Garstang, R.H., 1962: MNRAS 124, 321

number of transitions listed
j	i	Aij [s^-1]
4	9	7.419E-01	7.858E-01	7.983E-01	7.691E-01	7.140E-01	6.806E-01	6.374E-01	6.127E-01	5.802E-01	5.354E-01	4.988E-01	4.681E-01	4.417E-01	4.188E-01	3.987E-01	3.649E-01	3.375E-01	3.148E-01	2.957E-01	2.793E-01	
4	10	1.802E-01	1.567E-01	1.410E-01	1.385E-01	1.468E-01	1.543E-01	1.641E-01	1.689E-01	1.736E-01	1.759E-01	1.740E-01	1.699E-01	1.647E-01	1.590E-01	1.533E-01	1.423E-01	1.324E-01	1.237E-01	1.160E-01	1.093E-01	
4	11	9.511E-01	8.038E-01	7.110E-01	6.603E-01	6.264E-01	6.157E-01	6.048E-01	5.979E-01	5.866E-01	5.646E-01	5.406E-01	5.161E-01	4.923E-01	4.698E-01	4.488E-01	4.111E-01	3.790E-01	3.514E-01	3.276E-01	3.070E-01	
4	12	3.859E+00	3.396E+00	3.011E+00	2.728E+00	2.445E+00	2.313E+00	2.162E+00	2.080E+00	1.974E+00	1.829E+00	1.709E+00	1.606E+00	1.516E+00	1.436E+00	1.366E+00	1.246E+00	1.148E+00	1.065E+00	9.951E-01	9.345E-01	
4	13	2.421E+00	2.127E+00	1.886E+00	1.710E+00	1.534E+00	1.452E+00	1.358E+00	1.308E+00	1.242E+00	1.152E+00	1.077E+00	1.012E+00	9.555E-01	9.057E-01	8.613E-01	7.858E-01	7.237E-01	6.716E-01	6.272E-01	5.889E-01	
4	14	1.246E-01	1.413E-01	1.533E-01	1.619E-01	1.707E-01	1.741E-01	1.761E-01	1.759E-01	1.742E-01	1.689E-01	1.624E-01	1.556E-01	1.491E-01	1.429E-01	1.371E-01	1.269E-01	1.183E-01	1.109E-01	1.046E-01	9.911E-02	
4	15	2.472E-01	2.691E-01	2.817E-01	2.898E-01	2.971E-01	2.990E-01	2.983E-01	2.961E-01	2.911E-01	2.804E-01	2.686E-01	2.571E-01	2.461E-01	2.359E-01	2.265E-01	2.100E-01	1.962E-01	1.844E-01	1.743E-01	1.656E-01	
4	16	1.093E-01	1.214E-01	1.263E-01	1.292E-01	1.319E-01	1.325E-01	1.318E-01	1.305E-01	1.279E-01	1.226E-01	1.168E-01	1.112E-01	1.060E-01	1.011E-01	9.669E-02	8.896E-02	8.250E-02	7.707E-02	7.244E-02	6.846E-02	
5	6	6.832E-02	6.969E-02	6.982E-02	6.529E-02	5.804E-02	5.405E-02	4.924E-02	4.663E-02	4.335E-02	3.902E-02	3.561E-02	3.281E-02	3.044E-02	2.840E-02	2.663E-02	2.367E-02	2.132E-02	1.939E-02	1.778E-02	1.642E-02	
5	7	2.792E-01	2.701E-01	2.647E-01	2.480E-01	2.231E-01	2.094E-01	1.926E-01	1.834E-01	1.717E-01	1.559E-01	1.434E-01	1.330E-01	1.242E-01	1.166E-01	1.100E-01	9.891E-02	9.005E-02	8.278E-02	7.670E-02	7.153E-02	
5	8	4.566E-01	4.834E-01	4.934E-01	4.778E-01	4.466E-01	4.274E-01	4.024E-01	3.879E-01	3.688E-01	3.421E-01	3.201E-01	3.014E-01	2.852E-01	2.711E-01	2.586E-01	2.375E-01	2.203E-01	2.060E-01	1.939E-01	1.834E-01	
5	9	4.420E-01	4.721E-01	4.785E-01	4.592E-01	4.239E-01	4.026E-01	3.753E-01	3.598E-01	3.396E-01	3.119E-01	2.895E-01	2.708E-01	2.549E-01	2.411E-01	2.291E-01	2.090E-01	1.928E-01	1.794E-01	1.682E-01	1.586E-01	
5	10	5.915E-02	5.536E-02	5.090E-02	5.056E-02	5.434E-02	5.756E-02	6.174E-02	6.382E-02	6.591E-02	6.723E-02	6.684E-02	6.552E-02	6.373E-02	6.174E-02	5.969E-02	5.572E-02	5.211E-02	4.891E-02	4.608E-02	4.359E-02	
5	11	1.707E-01	1.354E-01	1.181E-01	1.139E-01	1.177E-01	1.220E-01	1.276E-01	1.302E-01	1.324E-01	1.324E-01	1.297E-01	1.256E-01	1.209E-01	1.160E-01	1.112E-01	1.022E-01	9.418E-02	8.720E-02	8.113E-02	7.582E-02	
5	12	8.600E-01	7.335E-01	6.496E-01	5.975E-01	5.540E-01	5.363E-01	5.165E-01	5.053E-01	4.895E-01	4.643E-01	4.404E-01	4.179E-01	3.970E-01	3.778E-01	3.601E-01	3.292E-01	3.031E-01	2.809E-01	2.619E-01	2.454E-01	
5	13	2.616E+00	2.317E+00	2.056E+00	1.856E+00	1.649E+00	1.550E+00	1.437E+00	1.376E+00	1.299E+00	1.195E+00	1.111E+00	1.041E+00	9.805E-01	9.281E-01	8.819E-01	8.040E-01	7.405E-01	6.875E-01	6.425E-01	6.038E-01	
5	14	3.433E-02	4.067E-02	4.545E-02	4.918E-02	5.327E-02	5.500E-02	5.634E-02	5.660E-02	5.635E-02	5.493E-02	5.293E-02	5.075E-02	4.858E-02	4.652E-02	4.458E-02	4.113E-02	3.820E-02	3.570E-02	3.354E-02	3.168E-02	
5	15	1.678E-01	1.798E-01	1.873E-01	1.923E-01	1.967E-01	1.979E-01	1.974E-01	1.959E-01	1.927E-01	1.859E-01	1.784E-01	1.710E-01	1.640E-01	1.575E-01	1.515E-01	1.409E-01	1.320E-01	1.244E-01	1.179E-01	1.123E-01	
5	16	3.842E-02	4.434E-02	4.593E-02	4.684E-02	4.768E-02	4.781E-02	4.741E-02	4.684E-02	4.571E-02	4.345E-02	4.107E-02	3.878E-02	3.665E-02	3.470E-02	3.293E-02	2.986E-02	2.733E-02	2.522E-02	2.344E-02	2.193E-02	
6	7	6.168E+00	8.804E+00	9.507E+00	9.170E+00	8.365E+00	7.927E+00	7.534E+00	7.447E+00	7.540E+00	8.138E+00	9.072E+00	1.017E+01	1.132E+01	1.246E+01	1.357E+01	1.560E+01	1.738E+01	1.891E+01	2.023E+01	2.137E+01	
6	8	1.806E+00	2.357E+00	2.529E+00	2.436E+00	2.227E+00	2.121E+00	2.041E+00	2.041E+00	2.107E+00	2.347E+00	2.684E+00	3.066E+00	3.462E+00	3.856E+00	4.238E+00	4.953E+00	5.597E+00	6.175E+00	6.694E+00	7.161E+00	
6	9	4.036E-01	6.549E-01	7.615E-01	7.535E-01	7.005E-01	6.720E-01	6.548E-01	6.613E-01	6.957E-01	8.064E-01	9.656E-01	1.156E+00	1.364E+00	1.581E+00	1.800E+00	2.227E+00	2.624E+00	2.986E+00	3.311E+00	3.601E+00	
6	10	2.917E+00	2.532E+00	2.283E+00	2.161E+00	2.106E+00	2.110E+00	2.136E+00	2.156E+00	2.179E+00	2.198E+00	2.195E+00	2.177E+00	2.153E+00	2.124E+00	2.095E+00	2.039E+00	1.989E+00	1.947E+00	1.912E+00	1.882E+00	
6	11	1.040E+00	8.720E-01	7.773E-01	7.353E-01	7.248E-01	7.341E-01	7.544E-01	7.674E-01	7.829E-01	7.966E-01	7.983E-01	7.923E-01	7.817E-01	7.687E-01	7.547E-01	7.264E-01	6.999E-01	6.762E-01	6.554E-01	6.372E-01	
6	12	2.002E-01	1.667E-01	1.484E-01	1.426E-01	1.477E-01	1.551E-01	1.669E-01	1.738E-01	1.819E-01	1.898E-01	1.923E-01	1.912E-01	1.881E-01	1.837E-01	1.788E-01	1.682E-01	1.579E-01	1.483E-01	1.396E-01	1.318E-01	
6	13	1.872E-02	1.853E-02	1.724E-02	1.772E-02	2.123E-02	2.439E-02	2.909E-02	3.184E-02	3.520E-02	3.890E-02	4.077E-02	4.145E-02	4.136E-02	4.082E-02	3.999E-02	3.795E-02	3.577E-02	3.365E-02	3.169E-02	2.989E-02	
6	14	9.400E-01	1.192E+00	1.220E+00	1.220E+00	1.232E+00	1.246E+00	1.267E+00	1.279E+00	1.293E+00	1.305E+00	1.309E+00	1.306E+00	1.300E+00	1.293E+00	1.285E+00	1.270E+00	1.256E+00	1.246E+00	1.238E+00	1.232E+00	
6	15	2.360E-01	3.210E-01	3.600E-01	3.828E-01	4.114E-01	4.284E-01	4.502E-01	4.622E-01	4.765E-01	4.929E-01	5.026E-01	5.078E-01	5.100E-01	5.099E-01	5.082E-01	5.014E-01	4.920E-01	4.811E-01	4.695E-01	4.577E-01	
6	16	8.630E-02	1.098E-01	1.227E-01	1.306E-01	1.404E-01	1.462E-01	1.534E-01	1.574E-01	1.622E-01	1.678E-01	1.712E-01	1.734E-01	1.745E-01	1.750E-01	1.750E-01	1.739E-01	1.718E-01	1.692E-01	1.662E-01	1.631E-01	
7	8	5.038E+00	7.601E+00	8.305E+00	8.047E+00	7.386E+00	7.054E+00	6.841E+00	6.887E+00	7.199E+00	8.188E+00	9.522E+00	1.101E+01	1.252E+01	1.401E+01	1.543E+01	1.803E+01	2.029E+01	2.224E+01	2.392E+01	2.538E+01	
7	9	1.857E+00	2.279E+00	2.380E+00	2.272E+00	2.069E+00	1.971E+00	1.908E+00	1.917E+00	1.998E+00	2.256E+00	2.602E+00	2.985E+00	3.375E+00	3.754E+00	4.114E+00	4.769E+00	5.335E+00	5.822E+00	6.242E+00	6.607E+00	
7	10	1.268E+00	1.072E+00	9.578E-01	9.061E-01	8.906E-01	8.997E-01	9.215E-01	9.357E-01	9.528E-01	9.679E-01	9.696E-01	9.625E-01	9.505E-01	9.357E-01	9.198E-01	8.879E-01	8.582E-01	8.318E-01	8.087E-01	7.888E-01	
7	11	1.189E+00	1.030E+00	9.246E-01	8.731E-01	8.511E-01	8.541E-01	8.669E-01	8.759E-01	8.866E-01	8.948E-01	8.928E-01	8.843E-01	8.721E-01	8.581E-01	8.434E-01	8.145E-01	7.881E-01	7.649E-01	7.449E-01	7.277E-01	
7	12	7.537E-01	6.625E-01	5.987E-01	5.676E-01	5.556E-01	5.588E-01	5.689E-01	5.758E-01	5.843E-01	5.920E-01	5.932E-01	5.901E-01	5.847E-01	5.780E-01	5.710E-01	5.574E-01	5.453E-01	5.351E-01	5.268E-01	5.201E-01	
7	13	2.310E-01	1.813E-01	1.576E-01	1.481E-01	1.471E-01	1.502E-01	1.562E-01	1.598E-01	1.638E-01	1.669E-01	1.666E-01	1.641E-01	1.603E-01	1.559E-01	1.511E-01	1.416E-01	1.327E-01	1.245E-01	1.172E-01	1.107E-01	
7	14	4.699E-01	6.111E-01	6.476E-01	6.640E-01	6.882E-01	7.047E-01	7.271E-01	7.395E-01	7.544E-01	7.705E-01	7.788E-01	7.819E-01	7.817E-01	7.793E-01	7.754E-01	7.653E-01	7.538E-01	7.425E-01	7.318E-01	7.222E-01	
7	15	4.295E-01	5.402E-01	5.532E-01	5.521E-01	5.541E-01	5.577E-01	5.638E-01	5.672E-01	5.710E-01	5.738E-01	5.735E-01	5.713E-01	5.682E-01	5.647E-01	5.613E-01	5.553E-01	5.509E-01	5.483E-01	5.472E-01	5.473E-01	
7	16	1.113E-01	1.554E-01	1.745E-01	1.854E-01	1.990E-01	2.071E-01	2.174E-01	2.230E-01	2.297E-01	2.369E-01	2.405E-01	2.418E-01	2.413E-01	2.398E-01	2.375E-01	2.315E-01	2.246E-01	2.174E-01	2.103E-01	2.034E-01	
8	9	3.968E+00	5.853E+00	6.348E+00	6.136E+00	5.627E+00	5.378E+00	5.228E+00	5.276E+00	5.537E+00	6.342E+00	7.427E+00	8.645E+00	9.909E+00	1.117E+01	1.239E+01	1.468E+01	1.675E+01	1.859E+01	2.025E+01	2.174E+01	
8	10	4.485E-01	3.593E-01	3.136E-01	2.949E-01	2.935E-01	3.006E-01	3.138E-01	3.220E-01	3.318E-01	3.409E-01	3.429E-01	3.403E-01	3.351E-01	3.283E-01	3.207E-01	3.051E-01	2.901E-01	2.764E-01	2.641E-01	2.531E-01	
8	11	9.344E-01	8.210E-01	7.410E-01	7.018E-01	6.858E-01	6.891E-01	7.006E-01	7.086E-01	7.186E-01	7.276E-01	7.288E-01	7.250E-01	7.184E-01	7.104E-01	7.019E-01	6.854E-01	6.708E-01	6.585E-01	6.484E-01	6.402E-01	
8	12	7.223E-01	6.093E-01	5.429E-01	5.117E-01	4.996E-01	5.023E-01	5.108E-01	5.164E-01	5.227E-01	5.264E-01	5.233E-01	5.158E-01	5.059E-01	4.948E-01	4.833E-01	4.607E-01	4.398E-01	4.212E-01	4.048E-01	3.903E-01	
8	13	4.895E-01	4.360E-01	3.961E-01	3.761E-01	3.672E-01	3.682E-01	3.730E-01	3.765E-01	3.808E-01	3.843E-01	3.841E-01	3.815E-01	3.775E-01	3.728E-01	3.680E-01	3.585E-01	3.500E-01	3.427E-01	3.367E-01	3.317E-01	
8	14	2.365E-01	3.113E-01	3.405E-01	3.567E-01	3.779E-01	3.910E-01	4.080E-01	4.173E-01	4.285E-01	4.412E-01	4.484E-01	4.523E-01	4.538E-01	4.537E-01	4.527E-01	4.490E-01	4.447E-01	4.407E-01	4.376E-01	4.355E-01	
8	15	3.335E-01	4.274E-01	4.422E-01	4.444E-01	4.492E-01	4.539E-01	4.609E-01	4.648E-01	4.692E-01	4.727E-01	4.727E-01	4.705E-01	4.671E-01	4.629E-01	4.585E-01	4.495E-01	4.413E-01	4.341E-01	4.280E-01	4.231E-01	
8	16	1.886E-01	2.453E-01	2.550E-01	2.569E-01	2.603E-01	2.634E-01	2.679E-01	2.703E-01	2.731E-01	2.754E-01	2.755E-01	2.742E-01	2.721E-01	2.695E-01	2.667E-01	2.609E-01	2.555E-01	2.508E-01	2.468E-01	2.435E-01	
9	10	7.850E-02	6.816E-02	6.131E-02	5.996E-02	6.481E-02	7.008E-02	7.816E-02	8.291E-02	8.865E-02	9.469E-02	9.735E-02	9.780E-02	9.688E-02	9.515E-02	9.296E-02	8.799E-02	8.294E-02	7.816E-02	7.377E-02	6.980E-02	
9	11	4.631E-01	3.820E-01	3.382E-01	3.191E-01	3.146E-01	3.189E-01	3.281E-01	3.339E-01	3.406E-01	3.460E-01	3.458E-01	3.420E-01	3.362E-01	3.294E-01	3.221E-01	3.076E-01	2.941E-01	2.821E-01	2.714E-01	2.621E-01	
9	12	6.970E-01	6.182E-01	5.604E-01	5.313E-01	5.181E-01	5.193E-01	5.258E-01	5.306E-01	5.365E-01	5.414E-01	5.413E-01	5.379E-01	5.328E-01	5.268E-01	5.207E-01	5.090E-01	4.989E-01	4.905E-01	4.838E-01	4.784E-01	
9	13	4.483E-01	3.944E-01	3.563E-01	3.371E-01	3.274E-01	3.273E-01	3.302E-01	3.324E-01	3.349E-01	3.363E-01	3.346E-01	3.310E-01	3.262E-01	3.210E-01	3.157E-01	3.054E-01	2.962E-01	2.883E-01	2.815E-01	2.758E-01	
9	14	1.196E-01	1.557E-01	1.733E-01	1.838E-01	1.971E-01	2.049E-01	2.150E-01	2.204E-01	2.270E-01	2.346E-01	2.392E-01	2.418E-01	2.431E-01	2.434E-01	2.429E-01	2.405E-01	2.368E-01	2.323E-01	2.273E-01	2.222E-01	
9	15	1.819E-01	2.447E-01	2.625E-01	2.704E-01	2.809E-01	2.877E-01	2.969E-01	3.020E-01	3.079E-01	3.143E-01	3.175E-01	3.187E-01	3.187E-01	3.181E-01	3.171E-01	3.148E-01	3.126E-01	3.106E-01	3.092E-01	3.081E-01	
9	16	2.044E-01	2.566E-01	2.574E-01	2.526E-01	2.482E-01	2.471E-01	2.464E-01	2.462E-01	2.456E-01	2.439E-01	2.415E-01	2.387E-01	2.358E-01	2.330E-01	2.303E-01	2.255E-01	2.215E-01	2.184E-01	2.160E-01	2.143E-01	
10	11	3.073E+00	2.620E+00	2.331E+00	2.210E+00	2.230E+00	2.320E+00	2.521E+00	2.691E+00	3.000E+00	3.665E+00	4.509E+00	5.497E+00	6.583E+00	7.725E+00	8.886E+00	1.117E+01	1.330E+01	1.523E+01	1.696E+01	1.849E+01	
10	12	1.018E+00	8.984E-01	8.262E-01	7.990E-01	8.177E-01	8.530E-01	9.241E-01	9.808E-01	1.079E+00	1.280E+00	1.525E+00	1.805E+00	2.107E+00	2.421E+00	2.738E+00	3.358E+00	3.936E+00	4.460E+00	4.930E+00	5.349E+00	
10	13	4.525E-01	4.117E-01	3.820E-01	3.676E-01	3.689E-01	3.786E-01	4.001E-01	4.182E-01	4.513E-01	5.243E-01	6.195E-01	7.326E-01	8.573E-01	9.877E-01	1.119E+00	1.373E+00	1.605E+00	1.811E+00	1.991E+00	2.148E+00	
10	14	8.103E-01	8.922E-01	8.968E-01	9.264E-01	1.008E+00	1.066E+00	1.140E+00	1.177E+00	1.216E+00	1.248E+00	1.252E+00	1.240E+00	1.221E+00	1.198E+00	1.174E+00	1.126E+00	1.083E+00	1.045E+00	1.012E+00	9.843E-01	
10	15	4.039E-01	4.204E-01	4.257E-01	4.382E-01	4.690E-01	4.907E-01	5.184E-01	5.325E-01	5.478E-01	5.608E-01	5.639E-01	5.615E-01	5.562E-01	5.495E-01	5.424E-01	5.284E-01	5.160E-01	5.054E-01	4.965E-01	4.893E-01	
10	16	5.900E-02	6.217E-02	6.553E-02	6.930E-02	7.626E-02	8.060E-02	8.563E-02	8.791E-02	8.996E-02	9.067E-02	8.934E-02	8.694E-02	8.407E-02	8.101E-02	7.796E-02	7.217E-02	6.699E-02	6.243E-02	5.845E-02	5.495E-02	
11	12	2.511E+00	2.135E+00	1.877E+00	1.757E+00	1.752E+00	1.824E+00	2.014E+00	2.190E+00	2.528E+00	3.278E+00	4.220E+00	5.294E+00	6.442E+00	7.618E+00	8.787E+00	1.103E+01	1.307E+01	1.489E+01	1.649E+01	1.790E+01	
11	13	4.884E-01	4.070E-01	3.673E-01	3.578E-01	3.784E-01	4.060E-01	4.612E-01	5.059E-01	5.843E-01	7.430E-01	9.283E-01	1.129E+00	1.334E+00	1.537E+00	1.733E+00	2.093E+00	2.405E+00	2.671E+00	2.897E+00	3.088E+00	
11	14	4.893E-01	5.203E-01	5.263E-01	5.435E-01	5.870E-01	6.174E-01	6.561E-01	6.759E-01	6.970E-01	7.148E-01	7.185E-01	7.144E-01	7.062E-01	6.962E-01	6.854E-01	6.642E-01	6.451E-01	6.286E-01	6.146E-01	6.028E-01	
11	15	2.237E-01	2.508E-01	2.519E-01	2.621E-01	2.905E-01	3.103E-01	3.346E-01	3.464E-01	3.580E-01	3.650E-01	3.621E-01	3.540E-01	3.433E-01	3.315E-01	3.194E-01	2.960E-01	2.748E-01	2.560E-01	2.395E-01	2.250E-01	
11	16	2.467E-01	2.607E-01	2.632E-01	2.700E-01	2.877E-01	3.003E-01	3.167E-01	3.253E-01	3.348E-01	3.435E-01	3.466E-01	3.464E-01	3.445E-01	3.418E-01	3.387E-01	3.327E-01	3.273E-01	3.229E-01	3.194E-01	3.166E-01	
12	13	1.503E+00	1.268E+00	1.104E+00	1.025E+00	1.015E+00	1.056E+00	1.172E+00	1.284E+00	1.503E+00	1.998E+00	2.625E+00	3.342E+00	4.106E+00	4.885E+00	5.656E+00	7.119E+00	8.440E+00	9.607E+00	1.063E+01	1.153E+01	
12	14	2.182E-01	2.250E-01	2.290E-01	2.372E-01	2.563E-01	2.693E-01	2.857E-01	2.939E-01	3.025E-01	3.093E-01	3.101E-01	3.076E-01	3.034E-01	2.985E-01	2.933E-01	2.832E-01	2.742E-01	2.664E-01	2.597E-01	2.541E-01	
12	15	2.588E-01	2.826E-01	2.843E-01	2.933E-01	3.180E-01	3.355E-01	3.577E-01	3.690E-01	3.808E-01	3.903E-01	3.914E-01	3.880E-01	3.822E-01	3.753E-01	3.680E-01	3.538E-01	3.410E-01	3.298E-01	3.202E-01	3.120E-01	
12	16	1.633E-01	1.811E-01	1.817E-01	1.873E-01	2.033E-01	2.147E-01	2.292E-01	2.366E-01	2.443E-01	2.505E-01	2.513E-01	2.490E-01	2.452E-01	2.407E-01	2.360E-01	2.266E-01	2.182E-01	2.109E-01	2.046E-01	1.992E-01	
13	14	6.703E-02	6.631E-02	6.800E-02	7.085E-02	7.694E-02	8.094E-02	8.575E-02	8.804E-02	9.026E-02	9.151E-02	9.087E-02	8.924E-02	8.714E-02	8.484E-02	8.251E-02	7.808E-02	7.411E-02	7.064E-02	6.764E-02	6.503E-02	
13	15	1.909E-01	2.042E-01	2.059E-01	2.115E-01	2.262E-01	2.368E-01	2.505E-01	2.577E-01	2.657E-01	2.731E-01	2.756E-01	2.755E-01	2.740E-01	2.718E-01	2.693E-01	2.643E-01	2.599E-01	2.562E-01	2.533E-01	2.510E-01	
13	16	6.299E-02	7.454E-02	7.423E-02	7.713E-02	8.596E-02	9.223E-02	1.000E-01	1.038E-01	1.076E-01	1.100E-01	1.093E-01	1.069E-01	1.036E-01	1.000E-01	9.629E-02	8.905E-02	8.245E-02	7.660E-02	7.145E-02	6.692E-02	
14	15	1.423E+00	1.472E+00	1.407E+00	1.345E+00	1.280E+00	1.250E+00	1.214E+00	1.193E+00	1.165E+00	1.121E+00	1.081E+00	1.046E+00	1.014E+00	9.854E-01	9.606E-01	9.200E-01	8.894E-01	8.667E-01	8.502E-01	8.384E-01	
14	16	5.227E-01	5.348E-01	5.164E-01	4.996E-01	4.837E-01	4.768E-01	4.687E-01	4.637E-01	4.563E-01	4.439E-01	4.319E-01	4.208E-01	4.109E-01	4.022E-01	3.948E-01	3.832E-01	3.754E-01	3.704E-01	3.677E-01	3.667E-01	
15	16	7.012E-01	7.403E-01	7.074E-01	6.714E-01	6.294E-01	6.082E-01	5.828E-01	5.684E-01	5.493E-01	5.214E-01	4.970E-01	4.753E-01	4.559E-01	4.385E-01	4.228E-01	3.958E-01	3.736E-01	3.552E-01	3.398E-01	3.270E-01	
50	6
		1000.00000000000	3019.95172040202	7079.45784384138	10000.00000000000	15135.61248436210	19952.62314968880	
6	17	8.44E-01	1.06E+00	9.61E-01	8.74E-01	7.74E-01	7.12E-01	
7	17	4.22E-01	5.26E-01	4.78E-01	4.36E-01	3.89E-01	3.61E-01	
8	17	1.69E-01	2.09E-01	1.92E-01	1.76E-01	1.58E-01	1.48E-01	
9	17	4.25E-02	5.12E-02	4.83E-02	4.52E-02	4.21E-02	4.08E-02	
10	17	6.76E-02	1.20E-01	1.10E-01	9.80E-02	8.27E-02	7.15E-02	
11	17	3.28E-02	5.72E-02	5.24E-02	4.68E-02	3.97E-02	3.44E-02	
12	17	1.34E-02	2.25E-02	2.06E-02	1.85E-02	1.58E-02	1.37E-02	
13	17	4.13E-03	6.59E-03	6.01E-03	5.44E-03	4.67E-03	4.10E-03	
14	17	8.58E-02	8.53E-02	8.71E-02	8.83E-02	9.05E-02	9.26E-02	
15	17	3.52E-02	3.42E-02	3.45E-02	3.45E-02	3.43E-02	3.41E-02	
16	17	9.33E-03	9.53E-03	9.83E-03	9.68E-03	9.35E-03	9.05E-03	
6	18	1.04E-01	1.16E-01	1.07E-01	1.01E-01	9.45E-02	9.20E-02	
7	18	3.40E-01	4.36E-01	3.98E-01	3.62E-01	3.21E-01	2.97E-01	
8	18	4.10E-01	5.61E-01	5.14E-01	4.64E-01	4.05E-01	3.69E-01	
9	18	3.46E-01	4.75E-01	4.35E-01	3.92E-01	3.42E-01	3.11E-01	
10	18	1.73E-02	2.86E-02	2.61E-02	2.35E-02	2.01E-02	1.76E-02	
11	18	3.08E-02	5.42E-02	4.96E-02	4.43E-02	3.75E-02	3.24E-02	
12	18	2.91E-02	5.18E-02	4.74E-02	4.23E-02	3.56E-02	3.08E-02	
13	18	1.71E-02	3.06E-02	2.80E-02	2.49E-02	2.10E-02	1.82E-02	
14	18	3.10E-02	3.06E-02	3.11E-02	3.08E-02	3.02E-02	2.96E-02	
15	18	4.40E-02	4.37E-02	4.46E-02	4.52E-02	4.62E-02	4.72E-02	
16	18	2.86E-02	2.86E-02	2.93E-02	2.98E-02	3.07E-02	3.16E-02	
17	18	3.69E+00	3.78E+00	3.38E+00	3.00E+00	2.51E+00	2.18E+00	
6	19	3.15E-01	2.56E-01	2.02E-01	1.84E-01	1.68E-01	1.60E-01	
7	19	1.88E-01	1.54E-01	1.23E-01	1.14E-01	1.05E-01	1.02E-01	
8	19	1.04E-01	8.55E-02	7.02E-02	6.57E-02	6.26E-02	6.18E-02	
9	19	5.16E-02	4.28E-02	3.62E-02	3.44E-02	3.34E-02	3.34E-02	
10	19	2.69E-01	2.01E-01	1.32E-01	1.08E-01	8.31E-02	6.83E-02	
11	19	1.56E-01	1.17E-01	7.69E-02	6.26E-02	4.84E-02	3.98E-02	
12	19	8.23E-02	6.15E-02	4.06E-02	3.31E-02	2.56E-02	2.10E-02	
13	19	3.46E-02	2.59E-02	1.71E-02	1.40E-02	1.08E-02	8.89E-03	
14	19	6.31E-01	5.23E-01	3.87E-01	3.34E-01	2.80E-01	2.46E-01	
15	19	2.85E-01	2.46E-01	1.84E-01	1.59E-01	1.33E-01	1.18E-01	
16	19	1.02E-01	9.19E-02	6.95E-02	6.02E-02	5.08E-02	4.50E-02	
17	19	1.44E-01	1.40E-01	1.60E-01	1.69E-01	1.78E-01	1.82E-01	
18	19	7.49E-02	7.94E-02	9.62E-02	1.04E-01	1.10E-01	1.13E-01	
6	20	3.78E-02	3.24E-02	2.93E-02	2.90E-02	2.97E-02	3.08E-02	
7	20	9.42E-02	7.68E-02	6.17E-02	5.69E-02	5.30E-02	5.13E-02	
8	20	1.08E-01	8.73E-02	6.86E-02	6.22E-02	5.64E-02	5.34E-02	
9	20	8.98E-02	7.23E-02	5.63E-02	5.08E-02	4.56E-02	4.27E-02	
10	20	5.62E-02	4.19E-02	2.78E-02	2.26E-02	1.75E-02	1.44E-02	
11	20	8.79E-02	6.56E-02	4.33E-02	3.52E-02	2.72E-02	2.23E-02	
12	20	8.04E-02	6.00E-02	3.95E-02	3.21E-02	2.48E-02	2.03E-02	
13	20	4.67E-02	3.49E-02	2.30E-02	1.86E-02	1.44E-02	1.18E-02	
14	20	1.33E-01	1.22E-01	9.31E-02	8.07E-02	6.81E-02	6.05E-02	
15	20	2.24E-01	1.85E-01	1.36E-01	1.18E-01	9.88E-02	8.71E-02	
16	20	1.53E-01	1.23E-01	9.05E-02	7.80E-02	6.53E-02	5.72E-02	
17	20	3.84E-02	4.28E-02	5.36E-02	5.86E-02	6.28E-02	6.50E-02	
18	20	7.10E-02	6.71E-02	7.42E-02	7.79E-02	8.12E-02	8.31E-02	
19	20	9.41E-01	7.50E-01	6.73E-01	6.41E-01	5.86E-01	5.37E-01	
